account_id,customer_id,account_type,product_code,open_date,close_date,status,interest_rate,credit_limit,branch_id,created_at,updated_at
ACCT00000001,CUST000001,LOAN,LOAN_PERSONAL,2022-01-18,,ACTIVE,0.1763,25000,BR0009,2022-01-18 14:59:27,2022-01-18 19:35:31
ACCT00000002,CUST000001,MONEY_MARKET,MM_STANDARD,2021-08-31,2023-12-04,CLOSED,0.0015,,BR0009,2021-08-31 22:21:13,2021-08-31 11:57:52
ACCT00000003,CUST000002,SAVINGS,SAV_HIYIELD,2021-07-15,,ACTIVE,0.0478,,BR0001,2021-07-15 13:16:20,2021-07-15 08:40:23
ACCT00000004,CUST000002,LOAN,LOAN_PERSONAL,2022-04-13,2023-04-05,CLOSED,0.215,5000,BR0001,2022-04-13 15:27:06,2022-04-13 13:00:51
ACCT00000005,CUST000003,CHECKING,CHK_BASIC,2023-08-09,,ACTIVE,0.071,,BR0013,2023-08-09 06:40:29,2023-08-09 13:35:55
ACCT00000006,CUST000004,LOAN,LOAN_AUTO,2022-04-06,,ACTIVE,0.1312,50000,BR0012,2022-04-06 09:07:56,2022-04-06 22:18:08
ACCT00000007,CUST000005,SAVINGS,SAV_BASIC,2023-12-14,,ACTIVE,0.0626,,BR0019,2023-12-14 07:00:28,2023-12-14 08:09:04
ACCT00000008,CUST000006,CHECKING,CHK_BASIC,2022-03-16,,ACTIVE,0.0163,,BR0009,2022-03-16 15:31:13,2022-03-16 07:22:47
ACCT00000009,CUST000006,CD,CD_24MO,2022-09-07,,FROZEN,0.0363,,BR0009,2022-09-07 21:06:48,2022-09-07 19:59:07
ACCT00000010,CUST000007,SAVINGS,SAV_HIYIELD,2020-09-09,,FROZEN,0.0286,,BR0014,2020-09-09 18:25:49,2020-09-09 20:26:18
ACCT00000011,CUST000008,CHECKING,CHK_PREMIUM,2023-10-14,,FROZEN,0.0424,,BR0003,2023-10-14 13:12:18,2023-10-14 14:01:01
ACCT00000012,CUST000009,CHECKING,CHK_PREMIUM,2022-12-23,,FROZEN,0.0549,,BR0018,2022-12-23 17:12:49,2022-12-23 20:39:12
ACCT00000013,CUST000010,LOAN,LOAN_PERSONAL,2021-05-24,,ACTIVE,0.192,2000,BR0007,2021-05-24 06:29:01,2021-05-24 17:44:18
ACCT00000014,CUST000011,CHECKING,CHK_BASIC,2020-12-21,,ACTIVE,0.0075,,BR0016,2020-12-21 16:02:47,2020-12-21 09:02:04
ACCT00000015,CUST000012,SAVINGS,SAV_HIYIELD,2023-09-07,,ACTIVE,0.0017,,BR0010,2023-09-07 22:02:08,2023-09-07 18:22:35
ACCT00000016,CUST000013,CHECKING,CHK_PREMIUM,2023-11-13,,ACTIVE,0.0692,,BR0013,2023-11-13 12:14:20,2023-11-13 15:32:32
ACCT00000017,CUST000014,LOAN,LOAN_PERSONAL,2020-06-22,,ACTIVE,0.0616,25000,BR0007,2020-06-22 18:30:36,2020-06-22 08:52:16
ACCT00000018,CUST000015,LOAN,LOAN_AUTO,2023-10-24,,ACTIVE,0.2106,50000,BR0005,2023-10-24 13:51:09,2023-10-24 06:56:13
ACCT00000019,CUST000016,CHECKING,CHK_BASIC,2023-12-28,,ACTIVE,0.0656,,BR0006,2023-12-28 19:27:23,2023-12-28 10:49:33
ACCT00000020,CUST000016,CHECKING,CHK_PREMIUM,2023-07-19,,ACTIVE,0.0688,,BR0006,2023-07-19 11:46:31,2023-07-19 10:18:00
ACCT00000021,CUST000017,LOAN,LOAN_AUTO,2021-05-21,,ACTIVE,0.1728,1000,BR0020,2021-05-21 15:42:47,2021-05-21 18:50:01
ACCT00000022,CUST000018,SAVINGS,SAV_HIYIELD,2021-07-06,,ACTIVE,0.0231,,BR0009,2021-07-06 10:31:56,2021-07-06 09:25:41
ACCT00000023,CUST000019,CD,CD_12MO,2023-06-22,,ACTIVE,0.0678,,BR0019,2023-06-22 12:24:38,2023-06-22 12:51:00
ACCT00000024,CUST000020,CHECKING,CHK_BASIC,2020-03-06,2020-06-21,CLOSED,0.0426,,BR0008,2020-03-06 13:04:35,2020-03-06 20:33:07
ACCT00000025,CUST000021,CHECKING,CHK_BASIC,2021-12-21,,ACTIVE,0.0275,,BR0004,2021-12-21 14:04:21,2021-12-21 11:39:43
