rate_id,rate_date,from_currency,to_currency,rate,rate_source,created_at
1,2022-01-01,EUR,USD,1.07613786,FED,2022-01-01 13:08:32
2,2022-01-02,EUR,USD,1.07799522,FED,2022-01-02 08:48:03
3,2022-01-03,EUR,USD,1.07919244,ECB,2022-01-03 19:38:04
4,2022-01-04,EUR,USD,1.07776391,FED,2022-01-04 18:38:29
5,2022-01-05,EUR,USD,1.06930045,ECB,2022-01-05 09:43:56
6,2022-01-06,EUR,USD,1.06774701,FED,2022-01-06 16:07:18
7,2022-01-07,EUR,USD,1.0645163,FED,2022-01-07 22:48:11
8,2022-01-08,EUR,USD,1.06591577,ECB,2022-01-08 15:53:40
9,2022-01-09,EUR,USD,1.06378851,FED,2022-01-09 11:34:49
10,2022-01-10,EUR,USD,1.06368621,ECB,2022-01-10 16:31:01
11,2022-01-11,EUR,USD,1.06599844,FED,2022-01-11 13:03:15
12,2022-01-12,EUR,USD,1.06796169,ECB,2022-01-12 08:46:31
13,2022-01-13,EUR,USD,1.07152903,ECB,2022-01-13 10:42:30
14,2022-01-14,EUR,USD,1.06340161,ECB,2022-01-14 14:33:55
15,2022-01-15,EUR,USD,1.05694293,ECB,2022-01-15 15:25:42
16,2022-01-16,EUR,USD,1.05185971,FED,2022-01-16 20:57:33
17,2022-01-17,EUR,USD,1.04958756,ECB,2022-01-17 16:01:37
18,2022-01-18,EUR,USD,1.05030089,ECB,2022-01-18 13:00:04
19,2022-01-19,EUR,USD,1.05001352,ECB,2022-01-19 07:55:21
20,2022-01-20,EUR,USD,1.04895444,ECB,2022-01-20 22:15:17
21,2022-01-21,EUR,USD,1.04788944,ECB,2022-01-21 21:15:50
22,2022-01-22,EUR,USD,1.04598327,FED,2022-01-22 19:12:06
23,2022-01-23,EUR,USD,1.04871669,FED,2022-01-23 19:29:55
24,2022-01-24,EUR,USD,1.05062819,ECB,2022-01-24 09:03:25
25,2022-01-25,EUR,USD,1.04985581,ECB,2022-01-25 13:12:12
26,2022-01-26,EUR,USD,1.04425281,FED,2022-01-26 10:27:11
27,2022-01-27,EUR,USD,1.04382908,ECB,2022-01-27 20:51:55
28,2022-01-28,EUR,USD,1.04616525,ECB,2022-01-28 07:41:34
29,2022-01-29,EUR,USD,1.05042211,ECB,2022-01-29 11:26:31
30,2022-01-30,EUR,USD,1.04330021,FED,2022-01-30 12:55:25
31,2022-01-31,EUR,USD,1.04483579,ECB,2022-01-31 18:16:59
32,2022-02-01,EUR,USD,1.04375416,FED,2022-02-01 15:27:44
33,2022-02-02,EUR,USD,1.05366442,FED,2022-02-02 10:12:18
34,2022-02-03,EUR,USD,1.05091521,ECB,2022-02-03 07:37:47
35,2022-02-04,EUR,USD,1.04586372,ECB,2022-02-04 07:37:30
36,2022-02-05,EUR,USD,1.04449878,ECB,2022-02-05 07:32:05
37,2022-02-06,EUR,USD,1.04520077,ECB,2022-02-06 13:25:07
38,2022-02-07,EUR,USD,1.04425086,ECB,2022-02-07 07:39:05
39,2022-02-08,EUR,USD,1.04062635,FED,2022-02-08 14:13:42
40,2022-02-09,EUR,USD,1.04263499,FED,2022-02-09 13:16:25
41,2022-02-10,EUR,USD,1.04570052,FED,2022-02-10 16:59:48
42,2022-02-11,EUR,USD,1.049011,ECB,2022-02-11 06:29:39
43,2022-02-12,EUR,USD,1.05949146,ECB,2022-02-12 12:32:16
44,2022-02-13,EUR,USD,1.05938867,ECB,2022-02-13 17:56:04
45,2022-02-14,EUR,USD,1.06160434,ECB,2022-02-14 20:53:34
46,2022-02-15,EUR,USD,1.05950009,FED,2022-02-15 22:00:42
47,2022-02-16,EUR,USD,1.06059737,ECB,2022-02-16 10:16:07
48,2022-02-17,EUR,USD,1.05814843,ECB,2022-02-17 10:17:18
49,2022-02-18,EUR,USD,1.05415625,ECB,2022-02-18 14:32:31
50,2022-02-19,EUR,USD,1.05107809,FED,2022-02-19 07:05:40
51,2022-02-20,EUR,USD,1.04882718,ECB,2022-02-20 16:49:08
52,2022-02-21,EUR,USD,1.04999705,FED,2022-02-21 11:47:28
53,2022-02-22,EUR,USD,1.04684308,ECB,2022-02-22 09:04:56
54,2022-02-23,EUR,USD,1.04578454,ECB,2022-02-23 07:53:23
55,2022-02-24,EUR,USD,1.04424164,ECB,2022-02-24 07:19:23
56,2022-02-25,EUR,USD,1.04336276,ECB,2022-02-25 17:13:43
57,2022-02-26,EUR,USD,1.04336707,FED,2022-02-26 10:59:59
58,2022-02-27,EUR,USD,1.04482496,ECB,2022-02-27 11:51:51
59,2022-02-28,EUR,USD,1.04625491,ECB,2022-02-28 16:50:59
60,2022-03-01,EUR,USD,1.0491571,FED,2022-03-01 13:17:10
61,2022-03-02,EUR,USD,1.0495074,ECB,2022-03-02 21:14:12
62,2022-03-03,EUR,USD,1.04804272,FED,2022-03-03 17:19:52
63,2022-03-04,EUR,USD,1.04867784,ECB,2022-03-04 12:25:21
64,2022-03-05,EUR,USD,1.04650802,FED,2022-03-05 08:49:17
65,2022-03-06,EUR,USD,1.04428393,FED,2022-03-06 06:07:56
66,2022-03-07,EUR,USD,1.04729281,FED,2022-03-07 11:37:16
67,2022-03-08,EUR,USD,1.05140449,FED,2022-03-08 16:27:38
68,2022-03-09,EUR,USD,1.05241629,ECB,2022-03-09 18:57:36
69,2022-03-10,EUR,USD,1.05276608,FED,2022-03-10 06:33:59
70,2022-03-11,EUR,USD,1.05365113,ECB,2022-03-11 17:27:04
71,2022-03-12,EUR,USD,1.06040501,FED,2022-03-12 09:46:57
72,2022-03-13,EUR,USD,1.05814321,FED,2022-03-13 22:19:42
73,2022-03-14,EUR,USD,1.05544105,FED,2022-03-14 10:12:26
74,2022-03-15,EUR,USD,1.05718994,FED,2022-03-15 11:39:36
75,2022-03-16,EUR,USD,1.05593228,ECB,2022-03-16 15:18:13
76,2022-03-17,EUR,USD,1.05972125,FED,2022-03-17 16:29:28
77,2022-03-18,EUR,USD,1.05766072,FED,2022-03-18 11:42:05
78,2022-03-19,EUR,USD,1.05844284,FED,2022-03-19 22:42:40
79,2022-03-20,EUR,USD,1.05741341,ECB,2022-03-20 15:14:51
80,2022-03-21,EUR,USD,1.05645659,ECB,2022-03-21 10:01:02
81,2022-03-22,EUR,USD,1.05657319,ECB,2022-03-22 20:26:56
82,2022-03-23,EUR,USD,1.06017034,ECB,2022-03-23 18:31:25
83,2022-03-24,EUR,USD,1.06034593,ECB,2022-03-24 09:49:27
84,2022-03-25,EUR,USD,1.06499015,ECB,2022-03-25 11:51:44
85,2022-03-26,EUR,USD,1.06397106,ECB,2022-03-26 09:29:08
86,2022-03-27,EUR,USD,1.0638557,FED,2022-03-27 22:35:38
87,2022-03-28,EUR,USD,1.0616583,FED,2022-03-28 22:27:53
88,2022-03-29,EUR,USD,1.06653142,FED,2022-03-29 11:47:55
89,2022-03-30,EUR,USD,1.06408429,ECB,2022-03-30 14:49:49
90,2022-03-31,EUR,USD,1.06447611,FED,2022-03-31 13:17:28
91,2022-04-01,EUR,USD,1.06679148,FED,2022-04-01 16:20:57
92,2022-04-02,EUR,USD,1.06801976,ECB,2022-04-02 10:09:14
93,2022-04-03,EUR,USD,1.06665083,ECB,2022-04-03 08:26:26
94,2022-04-04,EUR,USD,1.06788648,FED,2022-04-04 20:26:03
95,2022-04-05,EUR,USD,1.06878253,ECB,2022-04-05 18:30:00
96,2022-04-06,EUR,USD,1.07200761,FED,2022-04-06 15:48:24
97,2022-04-07,EUR,USD,1.07682771,FED,2022-04-07 13:31:14
98,2022-04-08,EUR,USD,1.07045844,FED,2022-04-08 19:31:01
99,2022-04-09,EUR,USD,1.06680149,FED,2022-04-09 11:53:29
100,2022-04-10,EUR,USD,1.06986079,ECB,2022-04-10 06:58:25
101,2022-04-11,EUR,USD,1.06589433,ECB,2022-04-11 19:08:55
102,2022-04-12,EUR,USD,1.06332005,FED,2022-04-12 11:03:16
103,2022-04-13,EUR,USD,1.06172479,FED,2022-04-13 16:48:56
104,2022-04-14,EUR,USD,1.06323756,FED,2022-04-14 14:48:53
105,2022-04-15,EUR,USD,1.05790381,FED,2022-04-15 06:47:34
106,2022-04-16,EUR,USD,1.06075377,ECB,2022-04-16 17:14:41
107,2022-04-17,EUR,USD,1.06801395,ECB,2022-04-17 06:15:12
108,2022-04-18,EUR,USD,1.07137652,ECB,2022-04-18 10:15:08
109,2022-04-19,EUR,USD,1.06981407,ECB,2022-04-19 20:44:16
110,2022-04-20,EUR,USD,1.07007566,FED,2022-04-20 11:38:38
111,2022-04-21,EUR,USD,1.07505401,ECB,2022-04-21 15:06:37
112,2022-04-22,EUR,USD,1.07389421,ECB,2022-04-22 15:36:43
113,2022-04-23,EUR,USD,1.07651192,ECB,2022-04-23 08:37:44
114,2022-04-24,EUR,USD,1.07480061,ECB,2022-04-24 09:44:49
115,2022-04-25,EUR,USD,1.07324141,ECB,2022-04-25 07:22:34
116,2022-04-26,EUR,USD,1.07787584,FED,2022-04-26 17:04:32
117,2022-04-27,EUR,USD,1.07756612,FED,2022-04-27 21:06:27
118,2022-04-28,EUR,USD,1.0771535,FED,2022-04-28 20:45:09
119,2022-04-29,EUR,USD,1.0723221,FED,2022-04-29 21:29:27
120,2022-04-30,EUR,USD,1.074386,FED,2022-04-30 16:54:15
121,2022-05-01,EUR,USD,1.07505268,FED,2022-05-01 13:48:29
122,2022-05-02,EUR,USD,1.07385234,FED,2022-05-02 16:01:31
123,2022-05-03,EUR,USD,1.07506189,ECB,2022-05-03 17:51:16
124,2022-05-04,EUR,USD,1.07341602,FED,2022-05-04 14:56:38
125,2022-05-05,EUR,USD,1.07263413,ECB,2022-05-05 22:12:05
126,2022-05-06,EUR,USD,1.0701672,ECB,2022-05-06 19:31:35
127,2022-05-07,EUR,USD,1.07041937,FED,2022-05-07 20:50:01
128,2022-05-08,EUR,USD,1.06550695,ECB,2022-05-08 15:14:25
129,2022-05-09,EUR,USD,1.06452936,FED,2022-05-09 21:35:33
130,2022-05-10,EUR,USD,1.06197923,FED,2022-05-10 19:47:35
131,2022-05-11,EUR,USD,1.0595665,FED,2022-05-11 15:16:14
132,2022-05-12,EUR,USD,1.06389416,ECB,2022-05-12 12:20:07
133,2022-05-13,EUR,USD,1.0635438,ECB,2022-05-13 12:13:47
134,2022-05-14,EUR,USD,1.05571873,FED,2022-05-14 14:46:37
135,2022-05-15,EUR,USD,1.05953965,FED,2022-05-15 09:53:12
136,2022-05-16,EUR,USD,1.05897191,FED,2022-05-16 13:23:11
137,2022-05-17,EUR,USD,1.05736409,ECB,2022-05-17 14:02:03
138,2022-05-18,EUR,USD,1.06207547,FED,2022-05-18 10:40:55
139,2022-05-19,EUR,USD,1.06210148,ECB,2022-05-19 15:30:30
140,2022-05-20,EUR,USD,1.0606192,FED,2022-05-20 16:11:03
141,2022-05-21,EUR,USD,1.06052064,ECB,2022-05-21 08:25:31
142,2022-05-22,EUR,USD,1.0668487,ECB,2022-05-22 07:09:09
143,2022-05-23,EUR,USD,1.06977632,ECB,2022-05-23 13:07:35
144,2022-05-24,EUR,USD,1.06251439,FED,2022-05-24 13:49:33
145,2022-05-25,EUR,USD,1.05742133,FED,2022-05-25 19:19:36
146,2022-05-26,EUR,USD,1.0621585,ECB,2022-05-26 09:48:13
147,2022-05-27,EUR,USD,1.06039752,ECB,2022-05-27 11:15:11
148,2022-05-28,EUR,USD,1.05862804,ECB,2022-05-28 11:00:26
149,2022-05-29,EUR,USD,1.05456943,FED,2022-05-29 07:14:18
150,2022-05-30,EUR,USD,1.05586896,FED,2022-05-30 20:04:43
151,2022-05-31,EUR,USD,1.05612712,ECB,2022-05-31 19:07:34
152,2022-06-01,EUR,USD,1.05859748,ECB,2022-06-01 10:58:17
153,2022-06-02,EUR,USD,1.0591636,ECB,2022-06-02 15:38:47
154,2022-06-03,EUR,USD,1.05807954,FED,2022-06-03 20:07:29
155,2022-06-04,EUR,USD,1.05622899,FED,2022-06-04 22:34:31
